# Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
# 
2011,3.10,5.30,5.80,10.70,11.00,12.60,14.20,14.10,13.80,11.20,8.70,4.80
2012,4.60,4.20,7.70,6.30,10.50,12.30,14.10,15.30,11.90,8.20,5.70,3.80
2013,3.30,2.70,2.20,6.30,9.50,12.80,17.00,15.60,12.70,11.20,5.50,5.70
2014,4.70,5.20,6.70,9.20,11.20,14.20,16.30,13.90,13.90,11.00,7.60,4.40
2015,3.70,3.50,5.50,7.90,9.50,12.70,14.40,14.70,11.90,10.00,8.10,7.90
2016,4.50,3.80,5.30,6.50,11.30,13.90,15.30,15.50,14.60,9.80,4.90,5.90
2017,3.80,5.20,7.30,8.00,12.10,14.40,15.10,14.50,12.50,11.20,5.70,4.10
2018,4.00,2.30,3.80,8.40,12.00,14.80,17.20,15.20,12.40,9.50,7.30,5.80
2019,3.40,6.00,6.80,8.40,10.00,13.20,16.40,15.80,13.10,8.90,5.30,5.10
2020,5.60,5.10,5.60,9.10,11.30,14.00,14.30,15.90,12.80,9.40,7.70,4.30
